numero,variable,region,model,langue,surprisal
1,TruthPos,16.280797958374023,BERT,hf,0
1,TruthPos,13.356059074401855,BERT,hf,0
1,TruthPos,14.324339866638184,BERT,hf,0
1,FalseNeg,18.97910499572754,BERT,hf,0
1,FalseNeg,17.604995727539062,BERT,hf,0
1,FalseNeg,15.87992000579834,BERT,hf,0
2,TruthPos,18.59503936767578,BERT,hf,0
2,TruthPos,16.834999084472656,BERT,hf,0
2,TruthPos,14.552278518676758,BERT,hf,0
2,FalseNeg,18.8216609954834,BERT,hf,0
2,FalseNeg,16.29598045349121,BERT,hf,0
2,FalseNeg,15.924551010131836,BERT,hf,0
3,TruthPos,18.067914962768555,BERT,hf,0
3,TruthPos,15.740745544433594,BERT,hf,0
3,TruthPos,16.657535552978516,BERT,hf,0
3,FalseNeg,18.568405151367188,BERT,hf,0
3,FalseNeg,17.072874069213867,BERT,hf,0
3,FalseNeg,14.710485458374023,BERT,hf,0
4,TruthPos,13.712531089782715,BERT,hf,0
4,TruthPos,16.463783264160156,BERT,hf,0
4,TruthPos,14.721880912780762,BERT,hf,0
4,FalseNeg,18.63166618347168,BERT,hf,0
4,FalseNeg,16.071128845214844,BERT,hf,0
4,FalseNeg,12.460244178771973,BERT,hf,0
5,TruthNeg,15.806903839111328,BERT,hf,0
5,TruthNeg,15.927008628845215,BERT,hf,0
5,TruthNeg,15.559879302978516,BERT,hf,0
5,FalsePos,17.533231735229492,BERT,hf,0
5,FalsePos,17.04914665222168,BERT,hf,0
5,FalsePos,15.71506118774414,BERT,hf,0
6,TruthPos,14.781793594360352,BERT,hf,0
6,TruthPos,14.048803329467773,BERT,hf,0
6,TruthPos,14.293869018554688,BERT,hf,0
6,FalseNeg,17.754135131835938,BERT,hf,0
6,FalseNeg,14.934242248535156,BERT,hf,0
6,FalseNeg,14.976005554199219,BERT,hf,0
7,TruthNeg,15.846529006958008,BERT,hf,0
7,TruthNeg,17.709640502929688,BERT,hf,0
7,TruthNeg,16.32137680053711,BERT,hf,0
7,FalsePos,17.26736068725586,BERT,hf,0
7,FalsePos,18.749799728393555,BERT,hf,0
7,FalsePos,16.385934829711914,BERT,hf,0
8,TruthNeg,14.863080024719238,BERT,hf,0
8,TruthNeg,16.777557373046875,BERT,hf,0
8,TruthNeg,16.44097137451172,BERT,hf,0
8,FalsePos,16.534257888793945,BERT,hf,0
8,FalsePos,16.78958511352539,BERT,hf,0
8,FalsePos,16.218849182128906,BERT,hf,0
9,TruthPos,14.942740440368652,BERT,hf,0
9,TruthPos,15.529007911682129,BERT,hf,0
9,TruthPos,13.372320175170898,BERT,hf,0
9,FalseNeg,16.980499267578125,BERT,hf,0
9,FalseNeg,16.33903694152832,BERT,hf,0
9,FalseNeg,14.638077735900879,BERT,hf,0
10,TruthNeg,14.993005752563477,BERT,hf,0
10,TruthNeg,16.62223243713379,BERT,hf,0
10,TruthNeg,15.354037284851074,BERT,hf,0
10,FalsePos,16.529386520385742,BERT,hf,0
10,FalsePos,17.58782386779785,BERT,hf,0
10,FalsePos,14.75400447845459,BERT,hf,0
11,TruthNeg,17.18065071105957,BERT,hf,0
11,TruthNeg,16.663341522216797,BERT,hf,0
11,TruthNeg,15.206027030944824,BERT,hf,0
11,FalsePos,14.321867942810059,BERT,hf,0
11,FalsePos,15.78715991973877,BERT,hf,0
11,FalsePos,15.593836784362793,BERT,hf,0
12,TruthPos,16.684988021850586,BERT,hf,0
12,TruthPos,16.835832595825195,BERT,hf,0
12,TruthPos,16.2408447265625,BERT,hf,0
12,FalseNeg,17.7020206451416,BERT,hf,0
12,FalseNeg,19.766088485717773,BERT,hf,0
12,FalseNeg,17.28740692138672,BERT,hf,0
13,TruthNeg,17.181276321411133,BERT,hf,0
13,TruthNeg,16.26852035522461,BERT,hf,0
13,TruthNeg,13.108357429504395,BERT,hf,0
13,FalsePos,19.67558479309082,BERT,hf,0
13,FalsePos,17.773115158081055,BERT,hf,0
13,FalsePos,16.41695213317871,BERT,hf,0
14,TruthNeg,16.614452362060547,BERT,hf,0
14,TruthNeg,15.670797348022461,BERT,hf,0
14,TruthNeg,15.318315505981445,BERT,hf,0
14,FalsePos,18.171926498413086,BERT,hf,0
14,FalsePos,18.300912857055664,BERT,hf,0
14,FalsePos,18.18704605102539,BERT,hf,0
15,TruthNeg,17.61470603942871,BERT,hf,0
15,TruthNeg,15.792606353759766,BERT,hf,0
15,TruthNeg,16.060152053833008,BERT,hf,0
15,FalsePos,18.609704971313477,BERT,hf,0
15,FalsePos,16.678316116333008,BERT,hf,0
15,FalsePos,16.9099063873291,BERT,hf,0
16,TruthPos,15.049870491027832,BERT,hf,0
16,TruthPos,15.109840393066406,BERT,hf,0
16,TruthPos,15.071419715881348,BERT,hf,0
16,FalseNeg,16.86884117126465,BERT,hf,0
16,FalseNeg,16.4439640045166,BERT,hf,0
16,FalseNeg,16.638654708862305,BERT,hf,0
17,TruthNeg,15.735506057739258,BERT,hf,0
17,TruthNeg,18.077499389648438,BERT,hf,0
17,TruthNeg,16.496776580810547,BERT,hf,0
17,FalsePos,16.806001663208008,BERT,hf,0
17,FalsePos,17.693552017211914,BERT,hf,0
17,FalsePos,15.945955276489258,BERT,hf,0
